t,Q_raw,Q_quartile_hampel_300,Q_quartile_hampel_300_smooth_50
"25/10/2023,09:55:39",31.3525,31.3525,31.552079491576
"25/10/2023,10:01:32",31.4883333333333,31.4883333333333,31.5507166068874
"25/10/2023,10:02:17",31.6802777777778,31.6802777777778,31.5489115859798
"25/10/2023,10:02:36",0,NaN,31.5469066189947
"25/10/2023,10:03:35",31.6733333333333,31.6733333333333,31.5445572617068
"25/10/2023,10:04:35",31.7863888888889,31.7863888888889,31.5412823866807
"25/10/2023,10:05:35",31.7852777777778,31.7852777777778,31.5379614408091
"25/10/2023,10:06:35",31.6175,31.6175,31.534746846112
"25/10/2023,10:07:35",31.4330555555556,31.4330555555556,31.5307701378371
"25/10/2023,10:08:35",31.4722222222222,31.4722222222222,31.5267870011502
"25/10/2023,10:09:35",31.3633333333333,31.3633333333333,31.5228374959063
"25/10/2023,10:10:35",31.6947222222222,31.6947222222222,31.5191915325477
"25/10/2023,10:11:35",31.5644444444444,31.5644444444444,31.514978219785
"25/10/2023,10:12:35",31.2052777777778,31.2052777777778,31.5103594974998
"25/10/2023,10:13:35",31.3891666666667,31.3891666666667,31.5059832880337
"25/10/2023,10:14:35",31.4344444444444,31.4344444444444,31.5013960446283
"25/10/2023,10:15:35",31.5466666666667,31.5466666666667,31.4965473046353
"25/10/2023,10:16:35",31.7269444444444,31.7269444444444,31.4915561877738
"25/10/2023,10:17:35",31.5366666666667,31.5366666666667,31.485955462538
"25/10/2023,10:18:35",31.5627777777778,31.5627777777778,31.4804080416725
"25/10/2023,10:19:35",31.4580555555556,31.4580555555556,31.4744262892632
"25/10/2023,10:20:35",31.5980555555556,31.5980555555556,31.4683583559295
"25/10/2023,10:21:35",31.1725,31.1725,31.4620049052017
"25/10/2023,10:22:35",31.6430555555556,31.6430555555556,31.4555382746124
"25/10/2023,10:23:35",31.3336111111111,31.3336111111111,31.4490110728928
"25/10/2023,10:24:35",31.6313888888889,31.6313888888889,31.4426558529742
"25/10/2023,10:25:35",31.5508333333333,31.5508333333333,31.4359939618518
"25/10/2023,10:26:35",31.5313888888889,31.5313888888889,31.4297426371882
"25/10/2023,10:27:35",31.4669444444444,31.4669444444444,31.4229231470595
"25/10/2023,10:28:35",31.23,31.23,31.4165033023421
"25/10/2023,10:29:35",31.2875,31.2875,31.4099120450742
"25/10/2023,10:30:35",31.3908333333333,31.3908333333333,31.4034984828306
"25/10/2023,10:31:35",31.1866666666667,31.1866666666667,31.3977348333886
"25/10/2023,10:32:35",31.2775,31.2775,31.3923964763175
"25/10/2023,10:33:35",31.3747222222222,31.3747222222222,31.3878035530271
"25/10/2023,10:34:35",31.56,31.56,31.3833319393093
"25/10/2023,10:35:35",31.3763888888889,31.3763888888889,31.3794345302898
"25/10/2023,10:36:35",31.2844444444444,31.2844444444444,31.3753587343873
